id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
244602,20851,KPNM,3900.0,75.0,ASP,1,0,15,45.56480026245117,-93.61109924316406,979.0,158,,33,45.55490112304688,-93.60530090332033,979.0,338,
245610,20852,KPNN,3999.0,150.0,ASP,0,0,06,45.19670104980469,-67.56590270996094,239.0,38,,24,45.2052001953125,-67.5562973022461,248.0,218,504.0
245611,20852,KPNN,4004.0,100.0,ASP,1,0,15,45.2041015625,-67.57340240478516,262.0,132,,33,45.19670104980469,-67.56199645996094,235.0,312,
242026,3783,KPNS,7000.0,150.0,ASP,1,0,08,30.47130012512207,-87.1958999633789,97.0,78,,26,30.47529983520508,-87.17420196533203,114.0,258,
242027,3783,KPNS,7004.0,150.0,ASP,1,0,17,30.48290061950684,-87.1906967163086,121.0,167,,35,30.464099884033203,-87.18569946289062,103.0,347,
242087,20853,KPNT,5001.0,75.0,ASP,1,0,06,40.9208984375,-88.63169860839844,649.0,59,,24,40.92789840698242,-88.61609649658203,666.0,239,
240895,3784,KPOB,7501.0,150.0,PEM,1,0,05,35.16320037841797,-79.02279663085938,217.0,41,,23,35.1786003112793,-79.0062026977539,190.0,221,
241876,20854,KPOC,3661.0,75.0,ASP,0,0,08L,34.09239959716797,-117.78700256347656,976.0,93,,26R,34.091800689697266,-117.7750015258789,1011.0,273,
241875,20854,KPOC,4839.0,75.0,ASP,1,0,08R,34.09170150756836,-117.79000091552734,963.0,93,,26L,34.090999603271484,-117.7750015258789,1002.0,273,688.0
243070,3785,KPOE,4109.0,125.0,ASP,1,0,15,31.05010032653809,-93.1938018798828,329.0,160,197.0,33,31.039499282836918,-93.18939971923828,278.0,340,
244338,20855,KPOF,5008.0,100.0,PEM,1,0,18,36.780799865722656,-90.32460021972656,329.0,181,,36,36.7671012878418,-90.32510375976562,328.0,1,300.0
241118,20856,KPOH,4100.0,60.0,CON,1,0,11,42.74570083618164,-94.65460205078124,1224.0,121,,29,42.73979949951172,-94.6415023803711,1221.0,301,
241119,20856,KPOH,1950.0,135.0,GRS,0,0,18,42.744998931884766,-94.6457977294922,,185,,36,42.73970031738281,-94.64640045166016,,5,
241590,3786,KPOU,5001.0,100.0,ASP,1,0,06,41.62189865112305,-73.89199829101562,146.0,51,,24,41.63059997558594,-73.87779998779297,155.0,231,113.0
241591,3786,KPOU,1358.0,100.0,GRS,0,0,07,41.625,-73.88819885253906,,51,,25,41.62730026245117,-73.8843002319336,,231,
241592,3786,KPOU,2743.0,100.0,PEM,1,0,15,41.63019943237305,-73.88520050048828,165.0,139,,33,41.62459945678711,-73.87850189208984,165.0,319,
242478,18563,KPOV,3500.0,75.0,ASPH-F,1,0,09,41.20980072021485,-81.25800323486328,1194.0,85,,27,41.21060180664063,-81.24530029296875,1192.0,265,
243052,20857,KPOY,2176.0,100.0,GRS,0,0,03,44.86180114746094,-108.79900360107422,5092.0,44,,21,44.8661003112793,-108.79299926757812,5062.0,224,
243053,20857,KPOY,6205.0,100.0,ASP,1,0,13,44.8759994506836,-108.79900360107422,4994.0,145,,31,44.862098693847656,-108.78500366210938,5092.0,325,
243054,20857,KPOY,2400.0,100.0,GRS,0,0,16,44.86840057373047,-108.79399871826172,5010.0,180,,34,44.86190032958984,-108.79399871826172,5055.0,360,
242369,20858,KPPA,4500.0,75.0,ASP,1,0,05,35.61320114135742,-101.00599670410156,3243.0,60,,23,35.61940002441406,-100.99299621582033,3238.0,240,
242370,20858,KPPA,4500.0,150.0,ASP,0,1,11,35.61389923095703,-101.00700378417967,3241.0,121,,29,35.60749816894531,-100.99400329589844,3244.0,301,
242371,20858,KPPA,5866.0,100.0,ASP,1,0,17,35.618499755859375,-100.99400329589844,3238.0,180,,35,35.60240173339844,-100.99400329589844,3240.0,360,
243025,20859,KPPF,4007.0,100.0,CON,0,1,04,37.328800201416016,-95.51589965820312,864.0,45,,22,37.336700439453125,-95.5062026977539,895.0,225,
243026,20859,KPPF,5687.0,100.0,PEM,1,0,17,37.33769989013672,-95.5062026977539,899.0,180,,35,37.32210159301758,-95.506103515625,865.0,360,
242764,20860,KPPO,5000.0,75.0,ASP,1,0,02,41.56549835205078,-86.73760223388672,801.0,20,,20,41.578399658203125,-86.73139953613281,812.0,200,
242765,20860,KPPO,2800.0,60.0,ASP,0,0,14,41.57600021362305,-86.73819732666016,810.0,134,200.0,32,41.57070159912109,-86.73090362548828,800.0,314,200.0
245897,20861,KPPQ,4000.0,60.0,ASP,1,0,13,39.642799377441406,-90.78359985351562,710.0,135,,31,39.6349983215332,-90.77349853515624,695.0,315,
241432,3787,KPQI,7440.0,150.0,ASP,1,0,01,46.68119812011719,-68.04560089111328,454.0,346,,19,46.70100021362305,-68.05290222167969,534.0,166,
241433,3787,KPQI,5994.0,150.0,ASP,1,0,10,46.68429946899414,-68.05079650878906,473.0,76,,28,46.68840026855469,-68.02770233154297,473.0,256,
240125,20862,KPQL,6500.0,100.0,ASP,1,0,17,30.47150039672852,-88.53170013427734,16.0,166,,35,30.454099655151367,-88.52670288085938,17.0,346,
243305,20863,KPQN,2539.0,221.0,GRS,0,0,09,43.98460006713867,-96.30570220947266,1723.0,97,,27,43.983699798583984,-96.2960968017578,1736.0,277,
243306,20863,KPQN,4302.0,75.0,ASP,1,0,18,43.98690032958984,-96.29959869384766,1734.0,184,,36,43.97510147094727,-96.30059814453124,1729.0,4,
243190,3788,KPRB,6009.0,150.0,ASP,1,0,01,35.666099548339844,-120.63600158691406,812.0,28,,19,35.680599212646484,-120.6259994506836,801.0,208,
243191,3788,KPRB,4700.0,100.0,ASP,1,0,13,35.6775016784668,-120.6269989013672,807.0,144,,31,35.66709899902344,-120.61799621582033,836.0,324,
240177,3789,KPRC,4846.0,60.0,ASP,1,0,03L,34.65650177001953,-112.41999816894533,4970.0,41,811.0,21R,34.666500091552734,-112.41000366210938,4938.0,221,
240176,3789,KPRC,7550.0,150.0,ASP,1,0,03R,34.64580154418945,-112.4290008544922,5022.0,41,723.0,21L,34.66130065917969,-112.41200256347656,4960.0,221,
240178,3789,KPRC,4408.0,75.0,ASP,1,0,12,34.6526985168457,-112.4280014038086,5024.0,136,150.0,30,34.64400100708008,-112.41799926757812,5045.0,316,
245406,20865,KPRG,4502.0,75.0,ASP,1,0,09,39.70000076293945,-87.67759704589844,651.0,91,,27,39.70009994506836,-87.6615982055664,650.0,271,
241859,20866,KPRN,5500.0,80.0,ASP,1,0,14,31.85149955749512,-86.61650085449219,451.0,140,,32,31.83989906311035,-86.6050033569336,424.0,320,300.0
243150,20867,KPRO,2280.0,235.0,GRS,0,0,04,41.825801849365234,-94.1615982055664,,52,,22,41.82939910888672,-94.15550231933594,,232,
243151,20867,KPRO,4000.0,75.0,CON,1,0,14,41.83250045776367,-94.16529846191406,1010.0,141,,32,41.82400131225586,-94.15599822998048,1004.0,321,
241931,313522,KPRS,5200.0,75.0,ASP,1,0,17,29.64109992980957,-104.36199951171876,2891.0,179,,35,29.62689971923828,-104.36100006103516,2932.0,359,
241754,3790,KPRX,4624.0,150.0,CON,0,0,03,33.63029861450195,-95.4530029296875,530.0,37,,21,33.64039993286133,-95.4438018798828,546.0,217,
241755,3790,KPRX,4624.0,150.0,CON,0,0,14,33.64289855957031,-95.45320129394533,540.0,141,,32,33.632999420166016,-95.4437026977539,547.0,321,
